,Medicines,Uses
198,Policosanol,"
Policosanol is used by some people to help lower cholesterol. Others use it to prevent blood clots and to help with circulation."
199,Probiotics,"
Probiotics are kinds of bacteria that normally live in the stomach and gut of healthy people.
Some people take this product to help with gut problems like irritable bowel syndrome. Others use it for other health problems like high blood pressure and sinus infections. Some people may use it to help prevent certain kinds of loose stools. This may be loose stools caused by infections or antibiotics. Probiotics are used to promote general bowel health and well-being."
200,Propolis,"Traditional/Ethnobotanical usesPropolis has been used as a medicinal agent since ancient times. It was used in folk medicine as early as 300 BC for cosmetic purposes, inflammation, and wound healing. It has been used internally and externally and is believed to kill bacteria, viruses, and fungi, to possess local anesthetic, antiulcer, and anti-inflammatory properties, and to lower blood pressure and stimulate the immune system.Propolis exhibits antimicrobial action against gram-positive bacteria, yeasts, and some viruses. Commonly used in oral and dental preparations, propolis may have a role in reducing tooth decay and oral ulcers and in promoting the health of injured teeth. Cytotoxicity of propolis and its chemical constituents has been demonstrated to stop the growth of tumor in animals and tumor cell; however, clinical studies in human cancer are lacking. Immune system effects, antioxidant actions, and effects on the heart have also been described."
201,Pygeum,"
Pygeum is used by some people to help with signs of an enlarged prostate.  This is called benign prostatic hyperplasia or BPH. It has also been used to help with urinary problems or prostate cancer."
202,Quercetin,"
Quercetin is used by some people to lower blood pressure. Others believe it helps with cancer and may improve social skills in children with autism. Quercetin is used by some men to help with prostate problems."
203,Raspberry,"
Raspberry is used by some people to help with stomach problems. Some women use raspberry to help with painful menstrual periods or to make contractions more regular during labor. Others may use raspberry to decrease cholesterol levels and swelling."
204,Red Clover,"
Red clover is used by some people to help with the signs of menopause like hot flashes or night sweats. Others will use it to help with breast tenderness or pain, and for premenstrual syndrome (PMS). Some people will use it to lower cholesterol or help with bone density."
205,Red Yeast Rice,"
Red yeast rice is used by some people to lower cholesterol and triglyceride levels, or for preventing heart disease. Others believe it helps with infections. Some people believe it helps with cancer. Red yeast rice is used by some people to help with diabetes."
206,Reishi Mushroom,"Traditional/Ethnobotanical usesReishi has been used in traditional Chinese medicine for more than 4,000 years for treating fatigue, asthma, cough, and liver ailments, and to promote longevity. The Chinese name lingzhi means ""herb of spiritual potency."" A Japanese name for the reishi is mannentake, meaning ""10,000-year-old mushroom."" Reishi's use is documented in the oldest Chinese medical text, which is more than 2,000 years old. Cultivation of reishi began in the 1980s. A survey conducted in Hong Kong found G. lucidum to be the third most common herbal preparation taken by preoperative surgical patients.General usesThe polysaccharide content of reishi mushroom is responsible for possible anticancer and immunostimulatory effects. Reishi may also provide hepatoprotective action, antiviral activity, and beneficial effect on the cardiovascular system, rheumatoid arthritis, chronic fatigue syndrome, and diabetes. Few clinical trials have been conducted."
207,Resveratrol,"
Resveratrol is used by some people to help prevent heart disease and help circulation. Some people may use this product to help with liver problems. Others believe it will help lower cholesterol levels. Some people feel it may help prevent cancer. Other people may use it to help manage the signs of diabetes."
208,Rhodiola Rosea,"
Rhodiola rosea is used by some people to help with low mood and mental tiredness. Others believe it will help cope with stress and give more energy."
209,Rose Hip,"
Rose hip is used by some people to help with stomach problems, urinary tract disorders, and to prevent kidney stones. Others believe it will help with osteoporosis or arthritis. Some people take rose hip to help with diabetes, high cholesterol, high blood pressure, or weight loss. Others believe it will help with infections and colds mainly because of the vitamin C in rose hips. Some believe it may protect from cancer."
210,Rosemary,"Traditional/Ethnobotanical usesRosemary is a widely used culinary spice. Tradition holds that rosemary will grow only in gardens of households where the ""mistress"" is truly the ""master."" The plant has been used in traditional medicine for its astringent, tonic, carminative, antispasmodic, and diaphoretic properties. Rosemary is one of the oldest known medicinal herbs, used centuries ago to enhance mental function and memory. Extracts and the volatile oil have been used to promote menstrual flow and as abortives. Rosemary extracts commonly are found as cosmetic ingredients and a lotion of the plant is said to stimulate hair growth and prevent baldness.Miscellaneous usesRosemary is a known antimicrobial agent. The powdered leaves are used as an effective natural flea and tick repellent. Rosemary oil possesses marked antibacterial, antifungal, and antiviral properties. Rosemary oil was found to be most active against ""meat-spoiling"" bacteria. A report on the use of rosemary to treat head lice found it to be ineffective.There are numerous reports available evaluating rosemary's anticancer effects. The extract induces an anticarcinogenic enzyme. Other anticancer mechanisms include polyphenol constituents that inhibit metabolic activation of procarcinogens. Rosemary has been reported to decrease capillary permeability and fragility. The plant may have spasmolytic actions, liver, and immune effects. Rosemary also may reverse headaches, reduce stress, and aid in asthma and bronchitis treatment. Rosemary also is used in aromatherapy for chronic pain treatment. Several reports exist concerning rosemary's antioxidative actions. Rosemary antioxidants have less scavenging potential than green tea polyphenols, but have more potential than vitamin E.While research is promising, more clinical testing will need to be done to validate all the medicinal uses of rosemary."
211,Royal Jelly,"Traditional/Ethnobotanical usesBecause of their specialized nutrition, queen bees differ from workers in several ways. The queens are approximately twice the size, they lay approximately 2,000 eggs a day (female worker bees are infertile), and they live 5 to 8 years (approximately 40 times longer than worker bees).These differences have led to the marketable assumption that ingestion of this product will do as much for humans as it does for bees; that is, increase size, improve fertility, and enhance longevity. In many countries, royal jelly has been promoted widely as a commercially available medicine, health food, and as a cosmetic (as an emollient, moisturizer, and nourishing substance). It is used in traditional medicine for longevity in Europe and Asia. Royal jelly has been sold as a skin tonic and hair growth stimulant.General usesRoyal jelly has been studied for a variety of actions, including antibiotic, antitumor, lowering blood pressure, and regulating the immune system. Additionally, effects on cholesterol, insulin-like action, and on the nervous system and female hormonal activity have been demonstrated. However, clinical trials are lacking."
212,Safflower,"
Safflower is used by some people as a laxative or to help with itching. Others use it to help lower cholesterol levels. Some people believe it may help with diabetes."
213,Saffron,"Traditional/Ethnobotanical usesSaffron has been used widely for flavoring food and as a dye for cloth, which it continues to be used for in underdeveloped countries and among back-to-basics artisans. Folkloric uses of saffron included its use as a sedative, expectorant, aphrodisiac, and diaphoretic (to induce perspiration). Anecdotal reports from the tropical regions of Asia describe the use of a paste composed of sandalwood and saffron as a soothing balm for dry skin. During the 16th through the 19th centuries, saffron was used in various opioid preparations for pain relief. Laudanum contained sherry wine, opium, saffron, cinnamon, and cloves. Black-drop contained opium, nutmeg, saffron, and yeast.Miscellaneous usesSaffron may possess antitumor activity. Chemopreventive (cancer preventive) studies examining the efficacy of saffron need to be performed. Research reveals no clinical data regarding the use of saffron for contraception or anti-inflammatory effects."
214,SAMe,"
Samesadenosylmethionine is also known as SAMe. It is used by some people to help with low mood or Alzheimer disease. Others believe it helps with arthritis. Some use it to help with heart or liver problems. SAMe is used by some people to help with fibromyalgia or for sexual dysfunction."
215,Sandalwood,"Traditional/Ethnobotanical usesSandalwood oil has a warm, woody odor and is commonly used as a fragrance in incense, cosmetics, perfumes, and soaps. It also is used as a flavor for foods and beverages. The wood has been valued in carving because of its dense character.In traditional medicine, sandalwood oil has been used as an antiseptic and astringent, and for the treatment of headache, stomachache, and urinary and genital disorders. In India, the essential oil, emulsion, or paste of sandalwood is used in the treatment of inflammatory and eruptive skin diseases. The oil has been used in the traditional Ayurvedic medicinal system as a diuretic and mild stimulant, and for smoothing the skin. The leaves and bark were used by early Hawaiians to treat dandruff, lice, skin inflammation, and sexually transmitted diseases. Sandalwood oil has also demonstrated repellency against the crop pest Tetranychus urticae (two-spotted spider mite).General usesSandalwood oil has been reported to have diuretic and urinary antiseptic properties, but clinical trial data are lacking. The oil has mainly been used as a fragrance enhancer."
216,Sarsaparilla,"Traditional/Ethnobotanical usesThe Spanish physician Nicholas Monardes described using sarsaparilla to treat syphilis in 1574. In 1812, Portuguese soldiers suffering from syphilis recovered faster if sarsaparilla was taken to treat the disease instead of mercury, the standard treatment at the time. Sarsaparilla has been used by many cultures for other ailments as well, including skin problems, arthritis, fever, digestive disorders, leprosy, and cancer. Late 15th century accounts explaining the identification and the first descriptions of American drugs include sarsaparilla. Sarsaparilla's role as a medicinal plant in American and European remedies in the 16th century also is evident.Sarsaparilla has been used for treating syphilis and other sexually transmitted diseases (STDs) throughout the world and was documented as an add-on treatment for leprosy in 1959.General usesExtracts of the roots may be effective in treating gout and metabolic syndrome (a combination of conditions, including high blood pressure and high cholesterol); however, evidence is based largely on animal studies and clinical trials are limited. Sarsaparilla has been traditionally used for treating syphilis, leprosy, and psoriasis; however, evidence to support these uses is lacking. Interest in cell-killing potential in treating cancer exists."
217,Sarsparilla,"Traditional/Ethnobotanical uses
The French physician Nicholas Monardes described using sarsaparilla to treat syphilis in 1574. In 1812, Portuguese soldiers suffering from syphilis recovered faster if sarsaparilla was taken to treat the disease instead of mercury, the standard treatment at the time. Sarsaparilla has been used by many cultures for other ailments as well, including skin problems, arthritis, fever, digestive disorders, leprosy, and cancer. Late 15th century accounts explaining the identification and the first descriptions of American drugs include sarsaparilla. Sarsaparilla's role as a medicinal plant in American and European remedies in the 16th century also is evident.
Sarsaparilla has been used for treating syphilis and other sexually transmitted diseases (STDs) throughout the world for 40 years. It has been used for psoriasis, and was documented as an adjuvant for leprosy treatment in 1959.
Miscellaneous uses
The ability of sarsaparilla to bind to endotoxins may be a possible mechanism of action as to how the plant exerts its effects. Problems associated with high endotoxin levels circulating in the blood stream such as liver disease, psoriasis, fevers, and inflammatory processes, all seem to improve with sarsaparilla. Research reveals no clinical data regarding the use of sarsaparilla for anti-inflammatory effects. A recent review addresses smilax compounds present in bodybuilding supplements said to “enhance performance.” Results of the study of more than 600 commercially available supplements determined that there was no research to validate these claims."
218,Sassafras,"Traditional/Ethnobotanical usesNative Americans have used sassafras for centuries and told early settlers that it would cure a variety of illnesses. The settlers then exported it to Europe, where it was found ineffective. A report on experiences of explorers and doctors finding, identifying, and describing sassafras bark and other drugs during the late 16th century is available.Over the years, the oil obtained from the roots and wood has been used as a scent in perfumes and soaps. Medicinally, sassafras has been applied to insect bites and stings to relieve symptoms. The leaves and pith, when dried and powdered, have been used as a thickener in soups. The roots often are dried and steeped for tea, and sassafras formerly was used as a flavoring in root beer. The pleasant-tasting oil of sassafras comes from the roots and the root bark. The main constituent of the oil is safrole. Sassafras oil and safrole have been banned for use as a drug and as flavors and food additives by the FDA because of their carcinogenic potential. However, their use and sale persist throughout the US."
219,Saw Palmetto,"
Saw palmetto is used by some men to help with signs of an enlarged prostate. This is called benign prostatic hyperplasia or BPH. Some men also use it to help slow prostate cancer growth. Some people use it to help with hair loss."
220,Schisandra,"
Schisandra is used by some people to help protect the liver from harm.  Others use it to help with alertness and to increase energy levels. It may also be used to help with low mood. Some people use it to help with problems sleeping. Schisandra may be used by some people to help with breathing problems like coughs, wheezing, or shortness of breath. Others believe it will help the body adapt to stress and protect from diseases."
221,Scullcap,"Traditional/Ethnobotanical usesScullcap appears to have been introduced into traditional American medicine toward the end of the 1700s, when it was promoted as an effective treatment for the management of hydrophobia (hence the derivation of one of its common names). It later was used as a tonic, particularly in proprietary remedies for ""female weakness."" The plant had been reputed to be an herbal tranquilizer, particularly in combination with Valerian, but has fallen into disuse. Scullcap has traditionally been used to treat nervousness, irritability, and neuralgia, as well as for its sedative properties.Miscellaneous usesOne clinical study indicates some anti-anxiety properties of scullcap. Recent studies also suggest that it might have anti-inflammatory activity. The depressant and antihypertensive effects of scullcap also have been looked at in a few small animal studies with no conclusive results. Teas prepared from Scutellaria species have demonstrable antibacterial and antifungal activity."
222,Seaweed,"Traditional/Ethnobotanical usesFor centuries, seaweed has been of botanical, industrial, and pharmaceutical interest. Because of the high nutrient content, seaweed has been used as a food throughout Asia.Traditional Chinese medicine used hot water extracts of certain seaweeds in the treatment of cancer. Additionally, the Japanese and Chinese cultures have used seaweeds to treat goiter and other glandular problems since 300 BC.The Romans used seaweeds in the treatment of wounds, burns, and rashes. The Celts noted that ordinary seaweed contracted as it dried and then expanded with moisture. In Scotland during the 18th century, physicians used dried seaweed stem to successfully drain abdominal wall abscesses. They also inserted seaweed into the cervix in an attempt to treat dysmenorrhea. Many reports outline the use of seaweed to induce abortion. Seaweed was employed intravaginally for ripening of the cervix and was used rectally for strictures.General usesThere are few clinical trials to support therapeutic recommendations for seaweeds. However, seaweeds are an important source of minerals and are low in sodium. They may be useful in heart conditions due to cholesterol reduction and appetite suppression. Alginates extracted from seaweed have been used in wound dressings."
223,Senna,"
Senna is used by some people as a laxative. It may also be used as a treatment for hard stools. Some people will take senna before having diagnostic tests on the bowels. Others will take it to help with weight loss."
224,Serrapeptase,"
Serrapeptase is an enzyme that is used by some people as medicine. Science currently does not support the use of this product for any health problems."
225,Shark Derivatives,"AnticancerEarly claims were made that extracts of shark cartilage inhibited tumors. The rationale includes the fact that sharks rarely get cancer, that sharks are cartilaginous fish and that cartilage is avascular (without blood vessels) and contains agents that inhibit vascularization (blood vessel genesis). The reasoning then follows that sharks do not get cancer because the inhibited vascularization prevents the formation of tumors. Hence, giving it to humans may inhibit tumor angiogenesis and cure cancer.The active principle(s) has not been found, although some believe it might be a protein. The shark cartilage was thought to be a cancer control agent. Several studies have been done on various sharks, but none have proven this theory. Clinical studies must be undertaken to prove any of the anticancer effects of shark derivatives.Other usesSqualamine has been used as a potent antibiotic with fungicidal and antiprotozoal activity."
226,Shark Liver Oil,"Traditional/Ethnobotanical usesIn 1916, squalene was isolated from SLO. Initially, SLO was used by Scandinavian fishermen to treat skin conditions, lung ailments, and certain cancers. The oil has been historically used to treat what was referred to as ""glandular disease"" that today most likely would be called lymphadenopathy. The active components alkylglycerols have been studied in a number of areas, including to stimulate the immune system.General usesSLO has been used to help treat cancer, skin conditions, and respiratory ailments, as well as to reduce recurrent mouth ulcers and prevent radiation sickness. However, limited clinical data are available. Alkylglycerols have been studied as an immune system stimulant. Animal data suggest SLO may improve fertility."
227,Slippery Elm,"Traditional/Ethnobotanical usesNorth American Indians and early settlers used the inner bark of the slippery elm not only to build canoes, shelter, and baskets, but as a poultice or as a soothing drink. Upon contact with water, the inner bark, collected in spring, yields a thick mucilage or demulcent that was used as an ointment or salve to treat urinary tract inflammation and was applied topically for cold sores and boils. A decoction of the leaves was used as a poultice to remove discoloration around blackened or bruised eyes. Surgeons during the American Revolution treated gun-shot wounds in this manner. Early settlers boiled bear fat with the bark to prevent rancidity. Late in the 19th century, a preparation of elm mucilage was officially recognized in the United States Pharmacopoeia.Demulcent/ProtectantSlippery elm prepared as a poultice coats and protects irritated tissues such as skin or intestinal membranes. The powdered bark has been used in this manner for local application to treat gout, rheumatism, cold sores, wounds, abscesses, ulcers, and toothaches. The tannins present are known to possess astringent actions. It also has been known to ""draw out"" toxins, boils, splinters, or other irritants.Powdered bark is incorporated into lozenges to provide demulcent action (soothing to mucous membranes) in the treatment of throat irritation. It also is used for its emollient and antitussive actions, to treat bronchitis and other lung afflictions, and to relieve thirst.GI/Urogenital effectsWhen slippery elm preparations are taken internally, they cause reflex stimulation of nerve endings in the GI tract, leading to mucus secretion. This may be the reason they are effective for protection against stomach ulcers, colitis, diverticulitis, gut inflammation, and acidity. Slippery elm also is useful for diarrhea, constipation, hemorrhoids, irritable bowel syndrome, and to expel tapeworms. It also has been used to treat cystitis and urinary inflammations.Other usesThe plant also is used as a lubricant to ease labor, as a source of nutrition for convalescence or baby food preparations, and for its activity against herpes and syphilis."
228,SOD,"Anti-inflammatoryWhite blood cells involved in the acute inflammatory response release large amounts of superoxide, which appears to contribute to the destruction of bacteria. Similarly, the amount of superoxide released at the site of an inflamed joint has been shown to cause extensive and rapid degradation of synovial fluid. SOD generally protects the fluid against this degradation. Furthermore, it protects the leucocytes themselves from free radical damage.Although IV infusion of SOD has little anti-inflammatory activity because of its rapid renal clearance, the local injection of SOD has proven to be an effective treatment for a variety of inflammatory disorders.Superoxide has been successfully used to treat human inflammatory diseases. In West Germany, where orgotein has been in general medical use for years, the drug is injected locally for the management of osteoarthritis, sports injuries, and knee joint osteoarthritis.SOD has been used for the treatment of soft tissue inflammation in horses and dogs, human inflammatory diseases, and chronic bladder inflammations. SOD is obtained for clinical use through genetically engineered biotechnology sources.Other usesSeveral reports have described an association between free radicals and aging. One researcher suggested that lifespans could be increased by 5 to 10 years by reducing body weight and increasing the levels of free-radical scavengers such as ascorbic acid, selenium and alpha-tocopherol. Some data indicate that longer-lived animal species have a higher internal degree of protection against free radicals.Based on such reports, some health food manufacturers have promoted products containing SOD as a nutritional supplement. These oral supplements have been said to remove wrinkles and age lines, slow the aging process, and facilitate a longer, healthier life.There are no published data to support these claims. SOD is a labile enzyme that is degraded rapidly by gastric acids when ingested. It is essentially unabsorbed after oral administration even when enteric coated, and confers no pharmacologic activity when taken orally. While many foods (red meats, vegetables) are rich in SOD, their SOD is degraded when ingested and is rendered enzymatically inactive."
229,Soy,"
Soy is used by some people to protect from certain kinds of cancer.  Others believe it will help lower cholesterol or protect from heart disease. Some people will use soy to help with diabetes, bone weakness, and for kidney problems. Women may use it to help with signs of menopause. Some people believe soy will help with loose stools in infants."
230,Spirulina,"
Spirulina is used by some people to help with allergies and asthma. Others believe it will help fight infections.  Some people believe it will help with cancer. Spirulina is used by some people to help with diabetes or high cholesterol levels. Others may use it to help with mouth sores. It may also be used to help with weight loss."
231,St. John's Wort,"
St. John's wort is used by some people to help with low mood and to reduce anxiety. Others use it to help with symptoms of premenstrual syndrome or menopause; cravings; and signs of withdrawal from alcohol, smoking, or other substances. Some people believe it helps treat infections and helps heal wounds."
232,Stevia,"Traditional/Ethnobotanical usesStevia has been used to sweeten tea for centuries, dating back to the Guarani Indians of South America. For hundreds of years, native Brazilians and Paraguayans also have employed the leaves of the plant as a sweetening agent. Europeans learned about stevia in the 16th century, whereas North American interest in the plant began in the 20th century when researchers heard of its sweetening properties. Paraguayan botanist Moises Bertoni documented stevia in the early 1900s. Glycosides responsible for the plant's sweetness were discovered in 1931. Stevia extracts are used today as food additives in Japan and Brazil as a non-caloric sweetener. In the US, however, use is limited to supplement status only.Sweetening agentStevia has been used for centuries as a natural sweetener. The plant contains sweet glycosides (eg, stevioside), with the most intense sweetness belonging to the species S. rebaudina. Stevia as a sweetening agent works well in weight-loss programs to satisfy ""sugar cravings,"" and is low in calories. The Japanese are the largest consumers of stevia leaves and employ the plant to sweeten foods, such as soy sauce, confections, and soft drinks, as a replacement for aspartame and saccharin.Other usesIn addition to its use as a sweetening agent, stevia also has been found to have hypotensive, hypoglycemic, and bactericidal properties. However, research reveals no clinical data regarding the use of stevia for any condition."
233,Sweet Wormwood,"
Sweet wormwood is used by some people to help with malaria or other infections. Some people use it to help stomach problems and to increase sexual desire. Others believe it may help with cancer."
234,Taheebo,"Traditional/Ethnobotanical usesTaheebo has been promoted for many years as an anticancer herb, and lay reports have claimed efficacy in a variety of cancers. However, there is sufficient scientific proof to support this use. Antifungal and antibiotic properties also are claimed in promotional literature, with topical and oral dosing for candidiasis. While taheebo shows some promise, no clinical trials have been conducted for any indication."
235,Taurine,"
Taurine is used by some people to help with seizures and some forms of autism. Some people believe it helps the heart and liver work better when you have congestive heart failure or hepatitis. It may help lower blood pressure or cholesterol. Others use it to protect the eyes from damage. Taurine may help keep blood sugar lower and increase mental performance."
236,Tea Tree Oil,"
Tea tree oil is used by some people to help with open sores or skin infections. Others use it to help with a specific germ called methicillin-resistant Staphylococcus aureus (MRSA). Some people use it to help with very bad acne. Others may use it to help with things like mouth sores, athlete's foot, dandruff, or nail infections. Some people may use it to help with yeast infections."
237,Turmeric,"
Turmeric is used by some people to help with heartburn or bowel problems like diarrhea, intestinal gas, and bloating. Others use it to help with Alzheimer disease or problems with the liver or gallbladder. Some people believe turmeric may help with cancer. It may also help to lessen swelling in some people and help with signs of arthritis. Some people believe it may help lower cholesterol."
238,Tylophora,"
Tylophora is used by some people to help with breathing problems like asthma, allergies, and the common cold. It may also help with swelling. Some people take tylophora for cancer or joint problems. It may help with loose stools, gas, or hemorrhoids. Others may apply tylophora to skin ulcers and wounds."
239,Tyrosine,"
Tyrosine is used by some people to help with low mood. People with a condition called phenylketonuria or PKU may use tyrosine. Others use it to help with addictions. Some people believe this product helps with conditions like stress, premenstrual syndrome, and attention deficit disorders (ADD). Others use it if they have problems staying awake or want to help them be more alert."
240,Ubiquinone,"
Ubiquinone is also known as Coenzyme Q10 or CoQ10.  It is used by some people to improve heart function and treat heart failure. Others may use it to help lower high blood pressure. Some people believe CoQ10 will help with nerve problems in diseases like diabetes or migraines. Others may take it to help with muscle or nerve problems caused by not enough CoQ10."
241,Uva Ursi,"
Some people use uva ursi to help with problems with the urinary tract. Others believe it increases the amount of urine you pass. Some people use it to help with hard stools. Others will use uva ursi to help with a rash or breathing problems like bronchitis. People with arthritis may also use it to help with pain."
242,Valerian,"
Some people use valerian to help with sleeping, feeling tired, or an upset stomach. Others believe it helps lower anxiety or worry and helps with low mood or obsessive compulsive disorder. Some people will use valerian to help with headaches, migraines, mild tremors, or epilepsy. Some women use valerian for menstrual cramps and symptoms that go along with menopause, like hot flashes."
243,Vanadium,"
Vanadium is used by some people to help lower blood sugar levels. Others think it may help with tuberculosis, syphilis, low red blood cell count, or swelling. Some may use it to help them get stronger or to prevent cancer. Others may take it to help to lower cholesterol levels and prevent heart disease."
244,Vervain,"Traditional/Ethnobotanical usesThe aerial parts have been used traditionally for many conditions, including stimulation of lactation and treatment of dysmenorrhea, jaundice, gout, kidney stones, headache, depression, anxiety, and insomnia. Vervain is also considered an astringent, a bitter digestive tonic, and a diuretic.General usesVervain has been used for many conditions, including stimulation of lactation and treatment of dysmenorrhea, jaundice, gout, kidney stones, and headache; however, there are few clinical trials of vervain or its components."
245,Vinpocetine,"
Vinpocetine is used by some people to help with signs of menopause, tiredness, or to prevent motion sickness. Some people will use it to protect from stomach ulcers. It may also be used to protect the brain from strokes or dementia. Vinpocetine may help with memory or to prevent Alzheimer's disease. Some people believe vinpocetine will help with seizures. Others may use it to protect from hearing loss associated with certain drugs. It may also be used to help manage pain."
246,Vitamin E,"Traditional/Ethnobotanical usesVitamin E was discovered in 1922 when reproductive abnormalities in rats reared on a basic diet were cured by a substance isolated from vegetable oils. A pure fraction was chemically identified in 1938 and named tocopherol after the Greek words tokos and phero meaning ""child birth"" and ""to bring forth.""General usesRoutine use of high-dose vitamin E for cancer, cardiovascular disease, diabetes, and epilepsy is not recommended. Vitamin E supplementation may have a role in treating age-related macular degeneration, dysmenorrhea, preeclampsia, rheumatoid arthritis, and tardive dyskinesia. Topical use of vitamin E has been investigated for the reduction of scarring."
247,Walnut,"Traditional/Ethnobotanical usesWalnuts have been found in prehistoric deposits in Europe dating from the Iron Age and are mentioned in Old Testament references to King Solomon's nut garden. Many legends have been associated with the walnut; the ancient Greeks and Romans regarded them as symbols of fertility. In the Middle Ages, walnuts were thought to ward off witchcraft, the evil eye, and epileptic fits because of the belief that evil spirits lurked in the walnut branches.Historically, walnut oil was prescribed for colic, to soothe intestines, and to relieve diarrhea and hemorrhoids. Further folk uses include treating rickets, frostbite, and glandular disturbances, and as an astringent, tonic restorative, and disinfectant. Blisters, ulcers, itchy scalp/dandruff, sunburn, and perspiration are some of the conditions treated with various walnut preparations.General usesThe inclusion of walnuts in the diet is recommended as a dietary source of polyunsaturated fatty acids and other nutrients, and to improve the lipid profile in hyperlipidemic individuals. Cardiac benefits of walnut consumption are described. Walnuts have also been studied in metabolic syndrome with limited benefit demonstrated. The effect of walnut extract in Alzheimer disease is being investigated."
248,Wild Yam,"
Wild yam is used by some women to help with signs of menopause. Others believe it will help treat painful periods or weak bones. Some people use it to increase energy, or for diverticulitis, gallbladder pain, or rheumatoid arthritis."
249,Willow Bark,"
Willow bark may be used to help with swelling, and muscle and joint pain, especially in people with arthritis. Others will use it to help lower fevers and symptoms of the common cold or flu. Some people believe willow bark may help with cancer, headache, menstrual cramps, and gout."
250,Wintergreen,"Traditional/Ethnobotanical usesAmerican Indians reportedly used wintergreen for treating back pain, rheumatism, fever, headaches, and sore throats. The plant and its oil have been used in traditional medicine as a pain releiver, for indigesion, and to protect the skin and reduce bleeding from minor cuts.Steam processing of the warmed, water-treated leaves produces wintergreen oil. It is used with sweet birch oil or a chemical compound (typically no more than 0.04%) for flavoring foods and candy.Wintergreen berries have been used to make pies. A tea made from the leaves was used as a substitute for black tea during the Revolutionary War. The tea has been used to relieve cold symptoms and muscle aches.General usesIn addition to being used as a flavoring, wintergreen and its oil have been used on the skin in preparations for the treatment of muscular and rheumatic pain. Clinical data do not support the use of wintergreen for any condition."
251,Witch Hazel,"Traditional/Ethnobotanical usesWitch hazel is a widely known plant with a lengthy history of use in the Americas. The plant, including the crude leaf and bark, is used in a variety of forms; fluid extracts, poultices, and most commonly as witch hazel water. The latter, also known as Hamamelis water or distilled witch hazel extract, is obtained from recently cut, partially dormant twigs. This plant material is soaked in warm water, followed by distillation and the addition of alcohol to the distillate. Witch hazel water is the most commonly found commercial preparation, usually kept in most homes as a topical cooling agent or astringent.Traditionally, witch hazel was known to native North American people as a treatment for tumors and eye inflammations. It was used internally for bleeding. Other uses include treatment of hemorrhoids, burns, cancers, tuberculosis, colds, and fever. Preparations have been used on the skin for treatment of itching and inflammation, as well as in preparations for eye irritation.General usesWitch hazel preparations are commonly used for skin conditions, including diaper rash; however, clinical studies supporting these uses are generally lacking. Witch hazel has been evaluated for antioxidant and antitumor activity."
252,Yarrow,"Traditional/Ethnobotanical usesYarrow is native to Europe and Asia, and has been naturalized in North America. Its use in food and medicine is ancient, dating back to the Trojan War, around 1200 BC. In legend, Achilles used it on the Centaur's advice, hence the name. In classical times, yarrow was referred to as ""herba militaris"" because it stopped bleeding wounds received in war. Yarrow leaves have been used for tea, and young leaves and flowers have been used in salads. Infusions of yarrow have served as cosmetic cleansers and medicines. Sneezewort leaves (A. ptarmica) have been used in sneezing powder, while those of A. millefolium have been used for snuff. Yarrow has been used therapeutically as a ""strengthening bitter tonic"" and astringent. Chewing fresh leaves has been suggested to relieve toothaches. Yarrow oil has been used in shampoos for a topical ""healing"" effect.Miscellaneous usesYarrow has been used to induce sweating and to stop wound bleeding. It also has been reported to reduce heavy menstrual bleeding and pain. It has been used to relieve GI ailments, for cerebral and coronary thromboses, to lower high blood pressure, to improve circulation, and to tone varicose veins. It has antimicrobial actions, is a natural source for food flavoring, and is used in alcoholic beverages and bitters. Research reveals no clinical data regarding the use of yarrow to treat any medical condition."
253,Yellow Dock,"Traditional/Ethnobotanical usesThe spring leaf stalks of this plant have been used as a potherb in salads but are disagreeable to some because of their tart sour-sweet taste. The plant must be boiled and rinsed thoroughly before being eaten. Due to its astringent properties, the plant has been used generally unsuccessfully in the treatment of venereal diseases and skin conditions. The powdered root has been used as a natural dentifrice. Larger amounts have been given as a laxative and tonic.While the roots of yellow dock are known to exert a laxative effect, research reveals no animal or clinical data regarding the use of yellow dock to treat any condition."
254,Yerba Santa,"Traditional/Ethnobotanical usesThe name yerba santa (""holy weed"") was given by the Spanish priests who learned of the medicinal value of the shrub from the American Indians. The plant has a long tradition of use in the United States. The thick sticky leaves, used either fresh or dried, were boiled to make tea or taken as treatment for coughs, colds, asthma, and tuberculosis. The leaves have been powdered and used as a stimulating expectorant. A liniment was applied topically to reduce fever. A poultice of fresh leaves was used to treat bruises, and young leaves were applied to relieve rheumatism. Historical evidence documents that yerba santa has been used in tea and medicinally for the management of bruises and rheumatic pain. The plant also has been used as an expectorant and in the treatment of respiratory diseases. Review of the scientific literature reveals no evidence evaluating the effectiveness of yerba santa for any condition in humans or animals.Miscellaneous usesThe plant is contained in a number of OTC herbal preparations. Yerba santa has been used as a pharmaceutical flavoring, particularly to mask the flavor of bitter drugs. The fluid extract is used in foods and beverages."
